nappy rig log  2026-09-24T16:49:57  version v0.16.0-21-gd5c37ac8

escape  run seed 1713581249  length 180.0s  invincible
   0.0  texture  atlas page 'ui' loaded in the escape: 0.9 ms, 262 x 420
   0.0  texture  atlas page 'stroller' loaded in the escape: 0.5 ms, 104 x 66
   0.0  texture  atlas page 'buildings' loaded in the escape: 2.4 ms, 332 x 576
   0.0  texture  atlas page 'street_kit' loaded in the escape: 1.9 ms, 390 x 454
   0.0  texture  atlas page 'ground' loaded in the escape: 1.7 ms, 172 x 308
   0.0  texture  atlas page 'decoration' loaded in the escape: 0.9 ms, 144 x 196
   0.0  texture  atlas page 'crowd' loaded in the escape: 0.8 ms, 194 x 250
   0.0  texture  atlas page 'events' loaded in the escape: 9.4 ms, 798 x 860
   0.0  texture  atlas page 'interior' loaded in the escape: 1.4 ms, 466 x 326
   0.0  texture  atlas page 'mother' loaded in the escape: 1.3 ms, 168 x 242
   0.0  start    entered the building at (386,11), facing 0°
