family_state,direction,authored_view,sources_in_draw_order,mirror_x,native_width,native_height,canvas_anchor_x,canvas_anchor_y,alpha_bounds_1x,layer_contract,review_sheet,work_item,intended_consumer,intended_use
delivery_van,N,back,art/events/delivery_van_back.svg,false,34,50,17.0,50,1;4;33;46,single baked-color layer,vehicles-working.png,M108,EventInstance delivery van,Parked van view from placement heading; keep kerb alignment
delivery_van,NE,back_diagonal,art/events/delivery_van_back_diagonal.svg,false,56,50,28.0,50,3;3;53;47,single baked-color layer,vehicles-working.png,M108,EventInstance delivery van,Parked van view from placement heading; keep kerb alignment
delivery_van,E,side,art/events/delivery_van.svg,true,48,30,24.0,30,0;1;48;30,single baked-color layer,vehicles-working.png,M108,EventInstance delivery van,Parked van view from placement heading; keep kerb alignment
delivery_van,SE,front_diagonal,art/events/delivery_van_front_diagonal.svg,false,56,50,28.0,50,3;3;53;47,single baked-color layer,vehicles-working.png,M108,EventInstance delivery van,Parked van view from placement heading; keep kerb alignment
delivery_van,S,front,art/events/delivery_van_front.svg,false,34,50,17.0,50,1;4;33;46,single baked-color layer,vehicles-working.png,M108,EventInstance delivery van,Parked van view from placement heading; keep kerb alignment
delivery_van,SW,front_diagonal,art/events/delivery_van_front_diagonal.svg,true,56,50,28.0,50,3;3;53;47,single baked-color layer,vehicles-working.png,M108,EventInstance delivery van,Parked van view from placement heading; keep kerb alignment
delivery_van,W,side,art/events/delivery_van.svg,false,48,30,24.0,30,0;1;48;30,single baked-color layer,vehicles-working.png,M108,EventInstance delivery van,Parked van view from placement heading; keep kerb alignment
delivery_van,NW,back_diagonal,art/events/delivery_van_back_diagonal.svg,true,56,50,28.0,50,3;3;53;47,single baked-color layer,vehicles-working.png,M108,EventInstance delivery van,Parked van view from placement heading; keep kerb alignment
fire_engine,N,back,art/events/fire_engine_back.svg,false,34,50,17.0,50,1;4;33;46,single baked-color layer,vehicles-working.png,M108,EventInstance fire truck,Travelling emergency engine view from actual heading
fire_engine,NE,back_diagonal,art/events/fire_engine_back_diagonal.svg,false,56,50,28.0,50,3;3;53;47,single baked-color layer,vehicles-working.png,M108,EventInstance fire truck,Travelling emergency engine view from actual heading
fire_engine,E,side,art/events/fire_engine.svg,true,62,36,31.0,36,1;0;61;36,single baked-color layer,vehicles-working.png,M108,EventInstance fire truck,Travelling emergency engine view from actual heading
fire_engine,SE,front_diagonal,art/events/fire_engine_front_diagonal.svg,false,56,50,28.0,50,3;3;53;47,single baked-color layer,vehicles-working.png,M108,EventInstance fire truck,Travelling emergency engine view from actual heading
fire_engine,S,front,art/events/fire_engine_front.svg,false,34,50,17.0,50,1;4;33;46,single baked-color layer,vehicles-working.png,M108,EventInstance fire truck,Travelling emergency engine view from actual heading
fire_engine,SW,front_diagonal,art/events/fire_engine_front_diagonal.svg,true,56,50,28.0,50,3;3;53;47,single baked-color layer,vehicles-working.png,M108,EventInstance fire truck,Travelling emergency engine view from actual heading
